numero_declaration,date_declaration,date_envoi_mail_info,date_envoi_mail_relance,date_prorogation,statut_actif,date_desactivation,id_declarant,guid,Civilite_declarant,nom_declarant,prenom_declarant,adresse_mail_declarant,adresse_declarant,cp_declarant,ville_declarant,Pays_declarant,societe_declarant,numero_siret_declarant,id_declaration,id_demande_guichet,compte_parisien,Type_residence,totalite_local,numero_voirie,indice_repetition,adresse_meuble,gps_meuble,id_poi_adresse_meuble,cp_meuble,etage,batiment,escalier,numero_appart,numero_invariant,nombre_pieces,nombre_lits,partie_local,date_classement,Niveau_classement,autre_reconnaissance,code_rivoli,adresseNormalise,Identification_parcelle,Quartier,IDBA
7510100000025,05/07/2023,06/07/2023,,,True,,25,a5b6c7d8-e9f0-1234-5678-55555y,Monsieur,MOREL,Maxime,maxime.morel@example.com,240 avenue de Saint-Ouen,75018,PARIS,France,,26262626262626,25,262626,True,Principale,True,240,,240 avenue de Saint-Ouen,,,75018,6,,Y,25,,4,5,True,10/06/2023,5 étoiles,,2525,240 AVENUE DE SAINT OUEN,751180YY0025,18,25025
7510100000026,12/07/2023,13/07/2023,,,True,,26,b6c7d8e9-f0a1-2345-6789-66666z,Madame,FOURNIER,Léa,lea.fournier@example.com,250 rue Oberkampf,75011,PARIS,France,,27272727272727,26,272727,True,Secondaire,True,250,,250 rue Oberkampf,,,75011,4,,Z,26,,2,3,True,15/06/2023,3 étoiles,Paris Rêve,2626,250 RUE OBERKAMPF,751110ZZ0026,11,26026
7510100000027,20/07/2023,21/07/2023,,,True,,27,c7d8e9f0-a1b2-3456-7890-77777aa,Monsieur,RENAUD,Clément,clement.renaud@example.com,260 rue du Faubourg Saint-Antoine,75012,PARIS,France,,28282828282828,27,282828,True,Principale,True,260,,260 rue du Faubourg Saint-Antoine,,,75012,7,,AA,27,,4,5,True,,Non classé,,2727,260 RUE DU FAUBOURG SAINT ANTOINE,751120AA0027,12,27027
7510100000028,28/07/2023,29/07/2023,,,True,,28,d8e9f0a1-b2c3-4567-8901-88888bb,Madame,LEFEVRE,Manon,manon.lefevre@example.com,270 rue de Belleville,75019,PARIS,France,,29292929292929,28,292929,True,Secondaire,True,270,,270 rue de Belleville,,,75019,3,,BB,28,,2,3,True,20/06/2023,4 étoiles,Paris Bonheur,2828,270 RUE DE BELLEVILLE,751190BB0028,19,28028
7510100000029,05/08/2023,06/08/2023,,,True,,29,e9f0a1b2-c3d4-5678-9012-99999cc,Monsieur,CARON,Théo,theo.caron@example.com,280 avenue Jean Jaurès,75019,PARIS,France,,30303030303030,29,303030,True,Principale,True,280,,280 avenue Jean Jaurès,,,75019,5,,CC,29,,4,5,True,25/06/2023,5 étoiles,,2929,280 AVENUE JEAN JAURES,751190CC0029,19,29029
7510100000030,12/08/2023,13/08/2023,,,True,,30,f0a1b2c3-d4e5-6789-0123-00000dd,Madame,DUBOIS,Océane,oceane.dubois@example.com,290 rue de Vaugirard,75015,PARIS,France,,31313131313131,30,313131,True,Secondaire,True,290,,290 rue de Vaugirard,,,75015,2,,DD,30,,2,3,True,30/06/2023,3 étoiles,Paris Plaisir,3030,290 RUE DE VAUGIRARD,751150DD0030,15,30030
7510100000031,20/08/2023,21/08/2023,,,True,,31,a1b2c3d4-e5f6-7890-1234-11111ee,Monsieur,LEROY,Enzo,enzo.leroy@example.com,300 rue du Commerce,75015,PARIS,France,,32323232323232,31,323232,True,Principale,True,300,,300 rue du Commerce,,,75015,6,,EE,31,,4,5,True,,Non classé,,3131,300 RUE DU COMMERCE,751150EE0031,15,31031
7510100000032,28/08/2023,29/08/2023,,,True,,32,b2c3d4e5-f6a7-8901-2345-22222ff,Madame,JOLY,Jade,jade.joly@example.com,310 avenue de Versailles,75016,PARIS,France,,33333333333333,32,333333,True,Secondaire,True,310,,310 avenue de Versailles,,,75016,4,,FF,32,,2,3,True,05/07/2023,4 étoiles,Paris Joie,3232,310 AVENUE DE VERSAILLES,751160FF0032,16,32032
7510100000033,05/09/2023,06/09/2023,,,True,,33,c3d4e5f6-a7b8-9012-3456-33333gg,Monsieur,BRUN,Ethan,ethan.brun@example.com,320 rue de la Convention,75015,PARIS,France,,34343434343434,33,343434,True,Principale,True,320,,320 rue de la Convention,,,75015,7,,GG,33,,4,5,True,10/07/2023,5 étoiles,,3333,320 RUE DE LA CONVENTION,751150GG0033,15,33033
7510100000034,12/09/2023,13/09/2023,,,True,,34,d4e5f6a7-b8c9-0123-4567-44444hh,Madame,GAUTHIER,Agathe,agathe.gauthier@example.com,330 rue Lecourbe,75015,PARIS,France,,35353535353535,34,353535,True,Secondaire,True,330,,330 rue Lecourbe,,,75015,3,,HH,34,,2,3,True,15/07/2023,3 étoiles,Paris Régal,3434,330 RUE LECOURBE,751150HH0034,15,34034
7510100000035,20/09/2023,21/09/2023,,,True,,35,e5f6a7b8-c9d0-1234-5678-55555ii,Monsieur,GIRAUD,Tom,tom.giraud@example.com,340 boulevard de Grenelle,75015,PARIS,France,,36363636363636,35,363636,True,Principale,True,340,,340 boulevard de Grenelle,,,75015,5,,II,35,,4,5,True,,Non classé,,3535,340 BOULEVARD DE GRENELLE,751150II0035,15,35035
7510100000036,28/09/2023,29/09/2023,,,True,,36,f6a7b8c9-d0e1-2345-6789-66666jj,Madame,LACROIX,Clémence,clemence.lacroix@example.com,350 rue de Vaugirard,75015,PARIS,France,,37373737373737,36,373737,True,Secondaire,True,350,,350 rue de Vaugirard,,,75015,2,,JJ,36,,2,3,True,20/07/2023,4 étoiles,Paris Délice,3636,350 RUE DE VAUGIRARD,751150JJ0036,15,36036
7510100000037,05/10/2023,06/10/2023,,,True,,37,a7b8c9d0-e1f2-3456-7890-77777kk,Monsieur,DUPONT,Leo,leo.dupont@example.com,360 rue de Javel,75015,PARIS,France,,38383838383838,37,383838,True,Principale,True,360,,360 rue de Javel,,,75015,6,,KK,37,,4,5,True,25/07/2023,5 étoiles,,3737,360 RUE DE JAVEL,751150KK0037,15,37037
7510100000038,12/10/2023,13/10/2023,,,True,,38,b8c9d0e1-f2a3-4567-8901-88888ll,Madame,ROYER,Lina,lina.royer@example.com,370 rue de Lourmel,75015,PARIS,France,,39393939393939,38,393939,True,Secondaire,True,370,,370 rue de Lourmel,,,75015,4,,LL,38,,2,3,True,30/07/2023,3 étoiles,Paris Doux,3838,370 RUE DE LOURMEL,751150LL0038,15,38038
7510100000039,20/10/2023,21/10/2023,,,True,,39,c9d0e1f2-a3b4-5678-9012-99999mm,Monsieur,RICHARD,Mathis,mathis.richard@example.com,380 rue de Vaugirard,75015,PARIS,France,,40404040404040,39,404040,True,Principale,True,380,,380 rue de Vaugirard,,,75015,7,,MM,39,,4,5,True,,Non classé,,3939,380 RUE DE VAUGIRARD,751150MM0039,15,39039
7510100000040,28/10/2023,29/10/2023,,,True,,40,d0e1f2a3-b4c5-6789-0123-00000nn,Madame,GARNIER,Eva,eva.garnier@example.com,390 rue de la Croix Nivert,75015,PARIS,France,,41414141414141,40,414141,True,Secondaire,True,390,,390 rue de la Croix Nivert,,,75015,3,,NN,40,,2,3,True,05/08/2023,4 étoiles,Paris Charmeur,4040,390 RUE DE LA CROIX NIVERT,751150NN0040,15,40040
7510100000041,05/11/2023,06/11/2023,,,True,,41,e1f2a3b4-c5d6-7890-1234-11111oo,Monsieur,FAURE,Maxence,maxence.faure@example.com,400 rue de Vaugirard,75015,PARIS,France,,42424242424242,41,424242,True,Principale,True,400,,400 rue de Vaugirard,,,75015,5,,OO,41,,4,5,True,10/08/2023,5 étoiles,,4141,400 RUE DE VAUGIRARD,751150OO0041,15,41041
7510100000042,12/11/2023,13/11/2023,,,True,,42,f2a3b4c5-d6e7-8901-2345-22222pp,Madame,FERNANDES,Sarah,sarah.fernandes@example.com,410 rue de la Convention,75015,PARIS,France,,43434343434343,42,434343,True,Secondaire,True,410,,410 rue de la Convention,,,75015,2,,PP,42,,2,3,True,15/08/2023,3 étoiles,Paris Paisible,4242,410 RUE DE LA CONVENTION,751150PP0042,15,42042
7510100000043,20/11/2023,21/11/2023,,,True,,43,a3b4c5d6-e7f8-9012-3456-33333qq,Monsieur,DA SILVA,Hugo,hugo.dasilva@example.com,420 rue de Vaugirard,75015,PARIS,France,,44444444444444,43,444444,True,Principale,True,420,,420 rue de Vaugirard,,,75015,6,,QQ,43,,4,5,True,,Non classé,,4343,420 RUE DE VAUGIRARD,751150QQ0043,15,43043
7510100000044,28/11/2023,29/11/2023,,,True,,44,b4c5d6e7-f8a9-0123-4567-44444rr,Madame,MARTINEZ,Sofia,sofia.martinez@example.com,430 rue de la Croix Nivert,75015,PARIS,France,,45454545454545,44,454545,True,Secondaire,True,430,,430 rue de la Croix Nivert,,,75015,4,,RR,44,,2,3,True,20/08/2023,4 étoiles,Paris Repos,4444,430 RUE DE LA CROIX NIVERT,751150RR0044,15,44044
7510100000045,05/12/2023,06/12/2023,,,True,,45,c5d6e7f8-a9b0-1234-5678-55555ss,Monsieur,DUPUY,Lucas,lucas.dupuy@example.com,440 rue de Vaugirard,75015,PARIS,France,,46464646464646,45,464646,True,Principale,True,440,,440 rue de Vaugirard,,,75015,7,,SS,45,,4,5,True,25/08/2023,5 étoiles,,4545,440 RUE DE VAUGIRARD,751150SS0045,15,45045
7510100000046,12/12/2023,13/12/2023,,,True,,46,d6e7f8a9-b0c1-2345-6789-66666tt,Madame,BERGE,Anna,anna.berge@example.com,450 rue Lecourbe,75015,PARIS,France,,47474747474747,46,474747,True,Secondaire,True,450,,450 rue Lecourbe,,,75015,3,,TT,46,,2,3,True,30/08/2023,3 étoiles,Paris Zen,4646,450 RUE LECOURBE,751150TT0046,15,46046
7510100000047,20/12/2023,21/12/2023,,,True,,47,e7f8a9b0-c1d2-3456-7890-77777uu,Monsieur,GUILLOT,Tom,tom.guillot@example.com,460 boulevard de Grenelle,75015,PARIS,France,,48484848484848,47,484848,True,Principale,True,460,,460 boulevard de Grenelle,,,75015,5,,UU,47,,4,5,True,,Non classé,,4747,460 BOULEVARD DE GRENELLE,751150UU0047,15,47047
7510100000048,28/12/2023,29/12/2023,,,True,,48,f8a9b0c1-d2e3-4567-8901-88888vv,Madame,LECOMTE,Chloé,chloe.lecomte@example.com,470 rue de Vaugirard,75015,PARIS,France,,49494949494949,48,494949,True,Secondaire,True,470,,470 rue de Vaugirard,,,75015,2,,VV,48,,2,3,True,05/09/2023,4 étoiles,Paris Calme,4848,470 RUE DE VAUGIRARD,751150VV0048,15,48048
7510100000049,05/01/2024,06/01/2024,,,True,,49,a9b0c1d2-e3f4-5678-9012-99999ww,Monsieur,OLIVIER,Mathis,mathis.olivier@example.com,480 rue de Javel,75015,PARIS,France,,50505050505050,49,505050,True,Principale,True,480,,480 rue de Javel,,,75015,6,,WW,49,,4,5,True,10/09/2023,5 étoiles,,4949,480 RUE DE JAVEL,751150WW0049,15,49049
7510100000050,12/01/2024,13/01/2024,,,True,,50,b0c1d2e3-f4a5-6789-0123-00000xx,Madame,LAMY,Lina,lina.lamy@example.com,490 rue de Lourmel,75015,PARIS,France,,51515151515151,50,515151,True,Secondaire,True,490,,490 rue de Lourmel,,,75015,4,,XX,50,,2,3,True,15/09/2023,3 étoiles,Paris Séjour,5050,490 RUE DE LOURMEL,751150XX0050,15,50050
7510100000051,20/01/2024,21/01/2024,,,True,,51,c1d2e3f4-a5b6-7890-1234-11111yy,Monsieur,AUBERT,Enzo,enzo.aubert@example.com,500 rue de Vaugirard,75015,PARIS,France,,52525252525252,51,525252,True,Principale,True,500,,500 rue de Vaugirard,,,75015,7,,YY,51,,4,5,True,,Non classé,,5151,500 RUE DE VAUGIRARD,751150YY0051,15,51051
7510100000052,28/01/2024,29/01/2024,,,True,,52,d2e3f4a5-b6c7-8901-2345-22222zz,Madame,REMY,Eva,eva.remy@example.com,510 rue de la Croix Nivert,75015,PARIS,France,,53535353535353,52,535353,True,Secondaire,True,510,,510 rue de la Croix Nivert,,,75015,3,,ZZ,52,,2,3,True,20/09/2023,4 étoiles,Paris Prestige,5252,510 RUE DE LA CROIX NIVERT,751150ZZ0052,15,52052
7510100000053,05/02/2024,06/02/2024,,,True,,53,e3f4a5b6-c7d8-9012-3456-33333aaa,Monsieur,ROLLAND,Maxence,maxence.rolland@example.com,520 rue de Vaugirard,75015,PARIS,France,,54545454545454,53,545454,True,Principale,True,520,,520 rue de Vaugirard,,,75015,5,,AAA,53,,4,5,True,25/09/2023,5 étoiles,,5353,520 RUE DE VAUGIRARD,751150AA0053,15,53053
7510100000054,12/02/2024,13/02/2024,,,True,,54,f4a5b6c7-d8e9-0123-4567-44444bbb,Madame,LEGRAND,Sofia,sofia.legrand@example.com,530 rue Lecourbe,75015,PARIS,France,,55555555555555,54,555555,True,Secondaire,True,530,,530 rue Lecourbe,,,75015,2,,BBB,54,,2,3,True,30/09/2023,3 étoiles,Paris Harmonie,5454,530 RUE LECOURBE,751150BB0054,15,54054
7510100000055,20/02/2024,21/02/2024,,,True,,55,a5b6c7d8-e9f0-1234-5678-55555ccc,Monsieur,BLANCHARD,Tom,tom.blanchard@example.com,540 boulevard de Grenelle,75015,PARIS,France,,56565656565656,55,565656,True,Principale,True,540,,540 boulevard de Grenelle,,,75015,6,,CCC,55,,4,5,True,,Non classé,,5555,540 BOULEVARD DE GRENELLE,751150CC0055,15,55055
7510100000056,28/02/2024,29/02/2024,,,True,,56,b6c7d8e9-f0a1-2345-6789-66666ddd,Madame,CLEMENT,Clémence,clemence.clement@example.com,550 rue de Vaugirard,75015,PARIS,France,,57575757575757,56,575757,True,Secondaire,True,550,,550 rue de Vaugirard,,,75015,4,,DDD,56,,2,3,True,05/10/2023,4 étoiles,Paris Sérénité,5656,550 RUE DE VAUGIRARD,751150DD0056,15,56056
7510100000057,05/03/2024,06/03/2024,,,True,,57,c7d8e9f0-a1b2-3456-7890-77777eee,Monsieur,ARNAUD,Leo,leo.arnaud@example.com,560 rue de Javel,75015,PARIS,France,,58585858585858,57,585858,True,Principale,True,560,,560 rue de Javel,,,75015,7,,EEE,57,,4,5,True,10/10/2023,5 étoiles,,5757,560 RUE DE JAVEL,751150EE0057,15,57057
7510100000058,12/03/2024,13/03/2024,,,True,,58,d8e9f0a1-b2c3-4567-8901-88888fff,Madame,GUERIN,Lina,lina.guerin@example.com,570 rue de Lourmel,75015,PARIS,France,,59595959595959,58,595959,True,Secondaire,True,570,,570 rue de Lourmel,,,75015,3,,FFF,58,,2,3,True,15/10/2023,3 étoiles,Paris Bonheur,5858,570 RUE DE LOURMEL,751150FF0058,15,58058
7510100000059,20/03/2024,21/03/2024,,,True,,59,e9f0a1b2-c3d4-5678-9012-99999ggg,Monsieur,ROBIN,Mathis,mathis.robin@example.com,580 rue de Vaugirard,75015,PARIS,France,,60606060606060,59,606060,True,Principale,True,580,,580 rue de Vaugirard,,,75015,5,,GGG,59,,4,5,True,,Non classé,,5959,580 RUE DE VAUGIRARD,751150GG0059,15,59059
7510100000060,28/03/2024,29/03/2024,,,True,,60,f0a1b2c3-d4e5-6789-0123-00000hhh,Madame,MEYER,Eva,eva.meyer@example.com,590 rue de la Croix Nivert,75015,PARIS,France,,61616161616161,60,616161,True,Secondaire,True,590,,590 rue de la Croix Nivert,,,75015,2,,HHH,60,,2,3,True,20/10/2023,4 étoiles,Paris Délice,6060,590 RUE DE LA CROIX NIVERT,751150HHH0060,15,60060
7510100000061,05/04/2024,06/04/2024,,,True,,61,a1b2c3d4-e5f6-7890-1234-11111iii,Monsieur,BENARD,Maxence,maxence.benard@example.com,600 rue de Vaugirard,75015,PARIS,France,,62626262626262,61,626262,True,Principale,True,600,,600 rue de Vaugirard,,,75015,6,,III,61,,4,5,True,25/10/2023,5 étoiles,,6161,600 RUE DE VAUGIRARD,751150III0061,15,61061
7510100000062,12/04/2024,13/04/2024,,,True,,62,b2c3d4e5-f6a7-8901-2345-22222jjj,Madame,RODRIGUES,Sarah,sarah.rodrigues@example.com,610 rue de la Convention,75015,PARIS,France,,63636363636363,62,636363,True,Secondaire,True,610,,610 rue de la Convention,,,75015,4,,JJJ,62,,2,3,True,30/10/2023,3 étoiles,Paris Rêve,6262,610 RUE DE LA CONVENTION,751150JJJ0062,15,62062
7510100000063,20/04/2024,21/04/2024,,,True,,63,c3d4e5f6-a7b8-9012-3456-33333kkk,Monsieur,THOMAS,Hugo,hugo.thomas@example.com,620 rue de Vaugirard,75015,PARIS,France,,64646464646464,63,646464,True,Principale,True,620,,620 rue de Vaugirard,,,75015,7,,KKK,63,,4,5,True,,Non classé,,6363,620 RUE DE VAUGIRARD,751150KKK0063,15,63063
7510100000064,28/04/2024,29/04/2024,,,True,,64,d4e5f6a7-b8c9-0123-4567-44444lll,Madame,DUPONT,Sofia,sofia.dupont@example.com,630 rue de la Croix Nivert,75015,PARIS,France,,65656565656565,64,656565,True,Secondaire,True,630,,630 rue de la Croix Nivert,,,75015,3,,LLL,64,,2,3,True,05/11/2023,4 étoiles,Paris Élégance,6464,630 RUE DE LA CROIX NIVERT,751150LLL0064,15,64064
7510100000065,05/05/2024,06/05/2024,,,True,,65,e5f6a7b8-c9d0-1234-5678-55555mmm,Monsieur,BERNARD,Lucas,lucas.bernard@example.com,640 rue de Vaugirard,75015,PARIS,France,,66666666666666,65,666666,True,Principale,True,640,,640 rue de Vaugirard,,,75015,5,,MMM,65,,4,5,True,10/11/2023,5 étoiles,,6565,640 RUE DE VAUGIRARD,751150MMM0065,15,65065
